using,ram,screen,capacity,fre,core
669.8,3,6.09,4000,1.8,8
676.5,3,6.09,4000,1.8,8
667.9,3,6.09,4000,1.8,8
624.7,3,6.09,4000,1.8,8
641.1,3,6.09,4000,1.8,8
687.5,3,6.09,4000,1.8,8
673.4,3,6.09,4000,1.8,8
671.4,3,6.09,4000,1.8,8
638.4,3,6.09,4000,1.8,8
650.3,3,6.09,4000,1.8,8
668.1,3,6.09,4000,1.8,8
694.6,3,6.09,4000,1.8,8
683.1,3,6.09,4000,1.8,8
655.8,3,6.09,4000,1.8,8
671.8,3,6.09,4000,1.8,8
643.6,3,6.09,4000,1.8,8
684.5,3,6.09,4000,1.8,8
659.8,3,6.09,4000,1.8,8
640.4,3,6.09,4000,1.8,8
687.3,3,6.09,4000,1.8,8
686.2,3,6.09,4000,1.8,8
644.7,3,6.09,4000,1.8,8
677.4,3,6.09,4000,1.8,8
664.2,3,6.09,4000,1.8,8
711.7,3,6.09,4000,1.8,8
682.5,3,6.09,4000,1.8,8
650.7,3,6.09,4000,1.8,8
656.1,3,6.09,4000,1.8,8
686.4,3,6.09,4000,1.8,8
664.6,3,6.09,4000,1.8,8
669.5,3,6.09,4000,1.8,8
657.6,3,6.09,4000,1.8,8
686.2,3,6.09,4000,1.8,8
661.7,3,6.09,4000,1.8,8
664.9,3,6.09,4000,1.8,8
652.9,3,6.09,4000,1.8,8
692.5,3,6.09,4000,1.8,8
668.4,3,6.09,4000,1.8,8
680.4,3,6.09,4000,1.8,8
698.3,3,6.09,4000,1.8,8
691.4,3,6.09,4000,1.8,8
696.6,3,6.09,4000,1.8,8
646.5,3,6.09,4000,1.8,8
670.6,3,6.09,4000,1.8,8
665.9,3,6.09,4000,1.8,8
680.6,3,6.09,4000,1.8,8
645.8,3,6.09,4000,1.8,8
681.7,3,6.09,4000,1.8,8
643.6,3,6.09,4000,1.8,8
681.7,3,6.09,4000,1.8,8
675.3,3,6.09,4000,1.8,8
687.8,3,6.09,4000,1.8,8
662.8,3,6.09,4000,1.8,8
698.6,3,6.09,4000,1.8,8
660.7,3,6.09,4000,1.8,8
697.1,3,6.09,4000,1.8,8
685.4,3,6.09,4000,1.8,8
662.0,3,6.09,4000,1.8,8
694.2,3,6.09,4000,1.8,8
661.0,3,6.09,4000,1.8,8
695.7,3,6.09,4000,1.8,8
689.2,3,6.09,4000,1.8,8
698.0,3,6.09,4000,1.8,8
677.7,3,6.09,4000,1.8,8
695.7,3,6.09,4000,1.8,8
657.3,3,6.09,4000,1.8,8
685.4,3,6.09,4000,1.8,8
678.4,3,6.09,4000,1.8,8
694.2,3,6.09,4000,1.8,8
681.7,3,6.09,4000,1.8,8
688.2,3,6.09,4000,1.8,8
661.2,4,6.5,5000,2,8
629.8,4,6.5,5000,2,8
653.7,4,6.5,5000,2,8
654.5,4,6.5,5000,2,8
638.1,4,6.5,5000,2,8
650.3,4,6.5,5000,2,8
660.8,4,6.5,5000,2,8
